"","p","Zc","T","Z"
"1788",1.4,0.278,1.5,0.884
"1804",1.4,0.316,1.02,0.275
"1805",1.4,0.316,1.03,0.299
"1806",1.4,0.316,1.04,0.323
"1807",1.4,0.316,1.05,0.347
"1808",1.4,0.316,1.06,0.375
"1809",1.4,0.316,1.07,0.412
"1810",1.4,0.316,1.08,0.449
"1811",1.4,0.316,1.09,0.485
"1812",1.4,0.316,1.1,0.514
"1813",1.4,0.316,1.12,0.564
"1814",1.4,0.316,1.14,0.606
"1815",1.4,0.316,1.16,0.64
"1816",1.4,0.316,1.18,0.669
"1817",1.4,0.316,1.2,0.695
"1818",1.4,0.316,1.3,0.785
"1819",1.4,0.316,1.4,0.841
"1820",1.4,0.316,1.5,0.88
"1821",1.4,0.316,1.6,0.909
"1822",1.4,0.316,1.7,0.93
"1823",1.4,0.316,1.8,0.947
"1824",1.4,0.316,1.9,0.96
"1825",1.45,0.244,0.5,0.227
"1826",1.45,0.244,0.6,0.202
"1827",1.45,0.244,0.7,0.187
"1828",1.45,0.244,0.8,0.179
"1829",1.45,0.244,0.9,0.181
"1830",1.45,0.244,0.92,0.183
"1831",1.45,0.244,0.94,0.186
"1832",1.45,0.244,0.96,0.191
"1833",1.45,0.244,0.98,0.198
"1834",1.45,0.244,1,0.208
"1835",1.45,0.244,1.01,0.214
"1836",1.45,0.244,1.02,0.227
"1837",1.45,0.244,1.03,0.24
"1838",1.45,0.244,1.04,0.264
"1839",1.45,0.244,1.05,0.302
"1840",1.45,0.244,1.06,0.339
"1841",1.45,0.244,1.07,0.383
"1842",1.45,0.244,1.08,0.427
"1843",1.45,0.244,1.09,0.466
"1844",1.45,0.244,1.1,0.498
"1845",1.45,0.244,1.12,0.554
"1846",1.45,0.244,1.14,0.598
"1847",1.45,0.244,1.16,0.635
"1848",1.45,0.244,1.18,0.666
"1849",1.45,0.244,1.2,0.693
"1850",1.45,0.244,1.3,0.79
"1851",1.45,0.244,1.4,0.851
"1852",1.45,0.244,1.5,0.892
"1853",1.45,0.244,1.6,0.92
"1854",1.45,0.244,1.7,0.94
"1855",1.45,0.244,1.8,0.954
"1860",1.45,0.278,0.8,0.224
"1861",1.45,0.278,0.9,0.224
"1862",1.45,0.278,0.92,0.226
"1863",1.45,0.278,0.94,0.229
"1864",1.45,0.278,0.96,0.233
"1865",1.45,0.278,0.98,0.239
"1866",1.45,0.278,1,0.249
"1867",1.45,0.278,1.01,0.256
"1868",1.45,0.278,1.02,0.263
"1869",1.45,0.278,1.03,0.276
"1870",1.45,0.278,1.04,0.293
"1871",1.45,0.278,1.05,0.312
"1872",1.45,0.278,1.06,0.35
"1873",1.45,0.278,1.07,0.389
"1874",1.45,0.278,1.08,0.427
"1875",1.45,0.278,1.09,0.464
"1876",1.45,0.278,1.1,0.495
"1877",1.45,0.278,1.12,0.549
"1878",1.45,0.278,1.14,0.593
"1879",1.45,0.278,1.16,0.63
"1880",1.45,0.278,1.18,0.661
"1881",1.45,0.278,1.2,0.687
"1882",1.45,0.278,1.3,0.782
"1883",1.45,0.278,1.4,0.84
"1884",1.45,0.278,1.5,0.88
"1900",1.45,0.316,1.02,0.278
"1901",1.45,0.316,1.03,0.296
"1902",1.45,0.316,1.04,0.314
"1903",1.45,0.316,1.05,0.332
"1904",1.45,0.316,1.06,0.356
"1905",1.45,0.316,1.07,0.392
"1906",1.45,0.316,1.08,0.427
"1907",1.45,0.316,1.09,0.461
"1908",1.45,0.316,1.1,0.491
"1909",1.45,0.316,1.12,0.544
"1910",1.45,0.316,1.14,0.589
"1911",1.45,0.316,1.16,0.625
"1912",1.45,0.316,1.18,0.656
"1913",1.45,0.316,1.2,0.683
"1914",1.45,0.316,1.3,0.777
"1915",1.45,0.316,1.4,0.836
"1916",1.45,0.316,1.5,0.877
"1917",1.45,0.316,1.6,0.906
"1918",1.45,0.316,1.7,0.928
"1919",1.45,0.316,1.8,0.946
"1920",1.45,0.316,1.9,0.959
"1921",1.5,0.244,0.5,0.235
"1922",1.5,0.244,0.6,0.208
"1923",1.5,0.244,0.7,0.193
"1924",1.5,0.244,0.8,0.185
"1925",1.5,0.244,0.9,0.187
"1926",1.5,0.244,0.92,0.189
"1927",1.5,0.244,0.94,0.192
"1928",1.5,0.244,0.96,0.197
"1929",1.5,0.244,0.98,0.203
"1930",1.5,0.244,1,0.213
"1931",1.5,0.244,1.01,0.219
"1932",1.5,0.244,1.02,0.229
"1933",1.5,0.244,1.03,0.241
"1934",1.5,0.244,1.04,0.259
"1935",1.5,0.244,1.05,0.288
"1936",1.5,0.244,1.06,0.316
"1937",1.5,0.244,1.07,0.36
"1938",1.5,0.244,1.08,0.403
"1939",1.5,0.244,1.09,0.442
"1940",1.5,0.244,1.1,0.476
"1941",1.5,0.244,1.12,0.535
"1942",1.5,0.244,1.14,0.582
"1943",1.5,0.244,1.16,0.621
"1944",1.5,0.244,1.18,0.653
"1945",1.5,0.244,1.2,0.681
"1946",1.5,0.244,1.3,0.783
"1947",1.5,0.244,1.4,0.846
"1948",1.5,0.244,1.5,0.888
"1949",1.5,0.244,1.6,0.918
"1950",1.5,0.244,1.7,0.939
"1951",1.5,0.244,1.8,0.953
"1956",1.5,0.278,0.8,0.231
"1957",1.5,0.278,0.9,0.231
"1958",1.5,0.278,0.92,0.233
"1959",1.5,0.278,0.94,0.236
"1960",1.5,0.278,0.96,0.24
"1961",1.5,0.278,0.98,0.246
"1962",1.5,0.278,1,0.255
"1963",1.5,0.278,1.01,0.261
"1964",1.5,0.278,1.02,0.268
"1965",1.5,0.278,1.03,0.279
"1966",1.5,0.278,1.04,0.292
"1967",1.5,0.278,1.05,0.312
"1968",1.5,0.278,1.06,0.338
"1969",1.5,0.278,1.07,0.371
"1970",1.5,0.278,1.08,0.407
"1971",1.5,0.278,1.09,0.443
"1972",1.5,0.278,1.1,0.475
"1973",1.5,0.278,1.12,0.531
"1974",1.5,0.278,1.14,0.577
"1975",1.5,0.278,1.16,0.615
"1976",1.5,0.278,1.18,0.648
"1977",1.5,0.278,1.2,0.676
"1978",1.5,0.278,1.3,0.774
"1979",1.5,0.278,1.4,0.835
"1980",1.5,0.278,1.5,0.877
"1996",1.5,0.316,1.02,0.282
"1997",1.5,0.316,1.03,0.298
"1998",1.5,0.316,1.04,0.313
"1999",1.5,0.316,1.05,0.328
"2000",1.5,0.316,1.06,0.349
"2001",1.5,0.316,1.07,0.381
"2002",1.5,0.316,1.08,0.412
"2003",1.5,0.316,1.09,0.443
"2004",1.5,0.316,1.1,0.472
"2005",1.5,0.316,1.12,0.526
"2006",1.5,0.316,1.14,0.573
"2007",1.5,0.316,1.16,0.611
"2008",1.5,0.316,1.18,0.643
"2009",1.5,0.316,1.2,0.671
"2010",1.5,0.316,1.3,0.77
"2011",1.5,0.316,1.4,0.831
"2012",1.5,0.316,1.5,0.873
"2013",1.5,0.316,1.6,0.903
"2014",1.5,0.316,1.7,0.926
"2015",1.5,0.316,1.8,0.944
"2016",1.5,0.316,1.9,0.958
"2017",1.6,0.244,0.5,0.25
"2018",1.6,0.244,0.6,0.222
"2019",1.6,0.244,0.7,0.205
"2020",1.6,0.244,0.8,0.197
"2021",1.6,0.244,0.9,0.198
"2022",1.6,0.244,0.92,0.201
"2023",1.6,0.244,0.94,0.204
"2024",1.6,0.244,0.96,0.208
"2025",1.6,0.244,0.98,0.214
"2026",1.6,0.244,1,0.223
"2027",1.6,0.244,1.01,0.228
"2028",1.6,0.244,1.02,0.237
"2029",1.6,0.244,1.03,0.246
"2030",1.6,0.244,1.04,0.259
"2031",1.6,0.244,1.05,0.278
"2032",1.6,0.244,1.06,0.297
"2033",1.6,0.244,1.07,0.332
"2034",1.6,0.244,1.08,0.367
"2035",1.6,0.244,1.09,0.402
"2036",1.6,0.244,1.1,0.437
"2037",1.6,0.244,1.12,0.499
"2038",1.6,0.244,1.14,0.551
"2039",1.6,0.244,1.16,0.593
"2040",1.6,0.244,1.18,0.629
"2041",1.6,0.244,1.2,0.659
"2042",1.6,0.244,1.3,0.768
"2043",1.6,0.244,1.4,0.836
"2044",1.6,0.244,1.5,0.882
"2045",1.6,0.244,1.6,0.914
"2046",1.6,0.244,1.7,0.936
"2047",1.6,0.244,1.8,0.951
"2052",1.6,0.278,0.8,0.246
"2053",1.6,0.278,0.9,0.245
"2054",1.6,0.278,0.92,0.247
"2055",1.6,0.278,0.94,0.25
"2056",1.6,0.278,0.96,0.254
"2057",1.6,0.278,0.98,0.259
"2058",1.6,0.278,1,0.267
"2059",1.6,0.278,1.01,0.272
"2060",1.6,0.278,1.02,0.278
"2061",1.6,0.278,1.03,0.287
"2062",1.6,0.278,1.04,0.297
"2063",1.6,0.278,1.05,0.311
"2064",1.6,0.278,1.06,0.329
"2065",1.6,0.278,1.07,0.351
"2066",1.6,0.278,1.08,0.379
"2067",1.6,0.278,1.09,0.409
"2068",1.6,0.278,1.1,0.44
"2069",1.6,0.278,1.12,0.497
"2070",1.6,0.278,1.14,0.546
"2071",1.6,0.278,1.16,0.588
"2072",1.6,0.278,1.18,0.623
"2073",1.6,0.278,1.2,0.653
"2074",1.6,0.278,1.3,0.76
"2075",1.6,0.278,1.4,0.825
"2076",1.6,0.278,1.5,0.87
"2092",1.6,0.316,1.02,0.292
"2093",1.6,0.316,1.03,0.304
"2094",1.6,0.316,1.04,0.315
"2095",1.6,0.316,1.05,0.326
"2096",1.6,0.316,1.06,0.341
"2097",1.6,0.316,1.07,0.365
"2098",1.6,0.316,1.08,0.388
"2099",1.6,0.316,1.09,0.411
"2100",1.6,0.316,1.1,0.437
"2101",1.6,0.316,1.12,0.486
"2102",1.6,0.316,1.14,0.538
"2103",1.6,0.316,1.16,0.58
"2104",1.6,0.316,1.18,0.618
"2105",1.6,0.316,1.2,0.648
"2106",1.6,0.316,1.3,0.755
"2107",1.6,0.316,1.4,0.821
"2108",1.6,0.316,1.5,0.866
"2109",1.6,0.316,1.6,0.898
"2110",1.6,0.316,1.7,0.922
"2111",1.6,0.316,1.8,0.941
"2112",1.6,0.316,1.9,0.956
"2113",1.7,0.244,0.5,0.266
"2114",1.7,0.244,0.6,0.236
"2115",1.7,0.244,0.7,0.218
"2116",1.7,0.244,0.8,0.209
"2117",1.7,0.244,0.9,0.21
"2118",1.7,0.244,0.92,0.212
"2119",1.7,0.244,0.94,0.215
"2120",1.7,0.244,0.96,0.219
"2121",1.7,0.244,0.98,0.225
"2122",1.7,0.244,1,0.233
"2123",1.7,0.244,1.01,0.238
"2124",1.7,0.244,1.02,0.245
"2125",1.7,0.244,1.03,0.253
"2126",1.7,0.244,1.04,0.263
"2127",1.7,0.244,1.05,0.277
"2128",1.7,0.244,1.06,0.291
"2129",1.7,0.244,1.07,0.317
"2130",1.7,0.244,1.08,0.344
"2131",1.7,0.244,1.09,0.373
"2132",1.7,0.244,1.1,0.406
"2133",1.7,0.244,1.12,0.467
"2134",1.7,0.244,1.14,0.521
"2135",1.7,0.244,1.16,0.567
"2136",1.7,0.244,1.18,0.605
"2137",1.7,0.244,1.2,0.638
"2138",1.7,0.244,1.3,0.754
"2139",1.7,0.244,1.4,0.827
"2140",1.7,0.244,1.5,0.875
"2141",1.7,0.244,1.6,0.909
"2142",1.7,0.244,1.7,0.933
"2143",1.7,0.244,1.8,0.95
"2148",1.7,0.278,0.8,0.261
"2149",1.7,0.278,0.9,0.26
"2150",1.7,0.278,0.92,0.261
"2151",1.7,0.278,0.94,0.264
"2152",1.7,0.278,0.96,0.267
"2153",1.7,0.278,0.98,0.272
"2154",1.7,0.278,1,0.28
"2155",1.7,0.278,1.01,0.284
"2156",1.7,0.278,1.02,0.29
"2157",1.7,0.278,1.03,0.297
"2158",1.7,0.278,1.04,0.305
"2159",1.7,0.278,1.05,0.316
"2160",1.7,0.278,1.06,0.329
"2161",1.7,0.278,1.07,0.345
"2162",1.7,0.278,1.08,0.366
"2163",1.7,0.278,1.09,0.389
"2164",1.7,0.278,1.1,0.416
"2165",1.7,0.278,1.12,0.469
"2166",1.7,0.278,1.14,0.518
"2167",1.7,0.278,1.16,0.562
"2168",1.7,0.278,1.18,0.599
"2169",1.7,0.278,1.2,0.632
"2170",1.7,0.278,1.3,0.746
"2171",1.7,0.278,1.4,0.816
"2172",1.7,0.278,1.5,0.864
"2188",1.7,0.316,1.02,0.304
"2189",1.7,0.316,1.03,0.313
"2190",1.7,0.316,1.04,0.322
"2191",1.7,0.316,1.05,0.331
"2192",1.7,0.316,1.06,0.343
"2193",1.7,0.316,1.07,0.361
"2194",1.7,0.316,1.08,0.379
"2195",1.7,0.316,1.09,0.396
"2196",1.7,0.316,1.1,0.418
"2197",1.7,0.316,1.12,0.468
"2198",1.7,0.316,1.14,0.514
"2199",1.7,0.316,1.16,0.557
"2200",1.7,0.316,1.18,0.594
"2201",1.7,0.316,1.2,0.626
"2202",1.7,0.316,1.3,0.741
"2203",1.7,0.316,1.4,0.811
"2204",1.7,0.316,1.5,0.859
"2205",1.7,0.316,1.6,0.893
"2206",1.7,0.316,1.7,0.919
"2207",1.7,0.316,1.8,0.939
"2208",1.7,0.316,1.9,0.955
"2209",1.8,0.244,0.5,0.281
"2210",1.8,0.244,0.6,0.249
"2211",1.8,0.244,0.7,0.231
"2212",1.8,0.244,0.8,0.221
"2213",1.8,0.244,0.9,0.222
"2214",1.8,0.244,0.92,0.223
"2215",1.8,0.244,0.94,0.226
"2216",1.8,0.244,0.96,0.23
"2217",1.8,0.244,0.98,0.236
"2218",1.8,0.244,1,0.243
"2219",1.8,0.244,1.01,0.247
"2220",1.8,0.244,1.02,0.254
"2221",1.8,0.244,1.03,0.261
"2222",1.8,0.244,1.04,0.269
"2223",1.8,0.244,1.05,0.281
"2224",1.8,0.244,1.06,0.292
"2225",1.8,0.244,1.07,0.312
"2226",1.8,0.244,1.08,0.333
"2227",1.8,0.244,1.09,0.357
"2228",1.8,0.244,1.1,0.385
"2229",1.8,0.244,1.12,0.442
"2230",1.8,0.244,1.14,0.495
"2231",1.8,0.244,1.16,0.542
"2232",1.8,0.244,1.18,0.582
"2233",1.8,0.244,1.2,0.617
"2234",1.8,0.244,1.3,0.741
"2235",1.8,0.244,1.4,0.817
"2236",1.8,0.244,1.5,0.869
"2237",1.8,0.244,1.6,0.905
"2238",1.8,0.244,1.7,0.93
"2239",1.8,0.244,1.8,0.948
"2244",1.8,0.278,0.8,0.276
"2245",1.8,0.278,0.9,0.274
"2246",1.8,0.278,0.92,0.275
"2247",1.8,0.278,0.94,0.278
"2248",1.8,0.278,0.96,0.281
"2249",1.8,0.278,0.98,0.286
"2250",1.8,0.278,1,0.292
"2251",1.8,0.278,1.01,0.297
"2252",1.8,0.278,1.02,0.301
"2253",1.8,0.278,1.03,0.308
"2254",1.8,0.278,1.04,0.315
"2255",1.8,0.278,1.05,0.323
"2256",1.8,0.278,1.06,0.334
"2257",1.8,0.278,1.07,0.347
"2258",1.8,0.278,1.08,0.363
"2259",1.8,0.278,1.09,0.38
"2260",1.8,0.278,1.1,0.402
"2261",1.8,0.278,1.12,0.449
"2262",1.8,0.278,1.14,0.496
"2263",1.8,0.278,1.16,0.539
"2264",1.8,0.278,1.18,0.578
"2265",1.8,0.278,1.2,0.612
"2266",1.8,0.278,1.3,0.733
"2267",1.8,0.278,1.4,0.807
"2268",1.8,0.278,1.5,0.857
"2284",1.8,0.316,1.02,0.315
"2285",1.8,0.316,1.03,0.323
"2286",1.8,0.316,1.04,0.331
"2287",1.8,0.316,1.05,0.338
"2288",1.8,0.316,1.06,0.347
"2289",1.8,0.316,1.07,0.363
"2290",1.8,0.316,1.08,0.377
"2291",1.8,0.316,1.09,0.39
"2292",1.8,0.316,1.1,0.409
"2293",1.8,0.316,1.12,0.451
"2294",1.8,0.316,1.14,0.493
"2295",1.8,0.316,1.16,0.535
"2296",1.8,0.316,1.18,0.572
"2297",1.8,0.316,1.2,0.606
"2298",1.8,0.316,1.3,0.727
"2299",1.8,0.316,1.4,0.802
"2300",1.8,0.316,1.5,0.852
"2301",1.8,0.316,1.6,0.888
"2302",1.8,0.316,1.7,0.915
"2303",1.8,0.316,1.8,0.936
"2304",1.8,0.316,1.9,0.953
"2305",1.9,0.244,0.5,0.297
"2306",1.9,0.244,0.6,0.263
"2307",1.9,0.244,0.7,0.243
"2308",1.9,0.244,0.8,0.233
"2309",1.9,0.244,0.9,0.233
"2310",1.9,0.244,0.92,0.235
"2311",1.9,0.244,0.94,0.237
"2312",1.9,0.244,0.96,0.241
"2313",1.9,0.244,0.98,0.246
"2314",1.9,0.244,1,0.253
"2315",1.9,0.244,1.01,0.257
"2316",1.9,0.244,1.02,0.263
"2317",1.9,0.244,1.03,0.269
"2318",1.9,0.244,1.04,0.277
"2319",1.9,0.244,1.05,0.287
"2320",1.9,0.244,1.06,0.296
"2321",1.9,0.244,1.07,0.312
"2322",1.9,0.244,1.08,0.328
"2323",1.9,0.244,1.09,0.348
"2324",1.9,0.244,1.1,0.372
"2325",1.9,0.244,1.12,0.421
"2326",1.9,0.244,1.14,0.472
"2327",1.9,0.244,1.16,0.52
"2328",1.9,0.244,1.18,0.561
"2329",1.9,0.244,1.2,0.597
"2330",1.9,0.244,1.3,0.728
"2331",1.9,0.244,1.4,0.808
"2332",1.9,0.244,1.5,0.862
"2333",1.9,0.244,1.6,0.9
"2334",1.9,0.244,1.7,0.927
"2335",1.9,0.244,1.8,0.947
"2340",1.9,0.278,0.8,0.291
"2341",1.9,0.278,0.9,0.288
"2342",1.9,0.278,0.92,0.289
"2343",1.9,0.278,0.94,0.291
"2344",1.9,0.278,0.96,0.294
"2345",1.9,0.278,0.98,0.299
"2346",1.9,0.278,1,0.305
"2347",1.9,0.278,1.01,0.309
"2348",1.9,0.278,1.02,0.313
"2349",1.9,0.278,1.03,0.319
"2350",1.9,0.278,1.04,0.325
"2351",1.9,0.278,1.05,0.333
"2352",1.9,0.278,1.06,0.341
"2353",1.9,0.278,1.07,0.352
"2354",1.9,0.278,1.08,0.365
"2355",1.9,0.278,1.09,0.378
"2356",1.9,0.278,1.1,0.396
"2357",1.9,0.278,1.12,0.435
"2358",1.9,0.278,1.14,0.478
"2359",1.9,0.278,1.16,0.52
"2360",1.9,0.278,1.18,0.559
"2361",1.9,0.278,1.2,0.593
"2362",1.9,0.278,1.3,0.72
"2363",1.9,0.278,1.4,0.798
"2364",1.9,0.278,1.5,0.851
"2380",1.9,0.316,1.02,0.328
"2381",1.9,0.316,1.03,0.334
"2382",1.9,0.316,1.04,0.341
"2383",1.9,0.316,1.05,0.347
"2384",1.9,0.316,1.06,0.356
"2385",1.9,0.316,1.07,0.367
"2386",1.9,0.316,1.08,0.379
"2387",1.9,0.316,1.09,0.39
"2388",1.9,0.316,1.1,0.405
"2389",1.9,0.316,1.12,0.441
"2390",1.9,0.316,1.14,0.477
"2391",1.9,0.316,1.16,0.517
"2392",1.9,0.316,1.18,0.554
"2393",1.9,0.316,1.2,0.589
"2394",1.9,0.316,1.3,0.714
"2395",1.9,0.316,1.4,0.793
"2396",1.9,0.316,1.5,0.846
"2397",1.9,0.316,1.6,0.884
"2398",1.9,0.316,1.7,0.912
"2399",1.9,0.316,1.8,0.934
"2400",1.9,0.316,1.9,0.951
"2401",2,0.244,0.5,0.312
"2402",2,0.244,0.6,0.277
"2403",2,0.244,0.7,0.256
"2404",2,0.244,0.8,0.245
"2405",2,0.244,0.9,0.244
"2406",2,0.244,0.92,0.246
"2407",2,0.244,0.94,0.248
"2408",2,0.244,0.96,0.252
"2409",2,0.244,0.98,0.257
"2410",2,0.244,1,0.264
"2411",2,0.244,1.01,0.267
"2412",2,0.244,1.02,0.273
"2413",2,0.244,1.03,0.278
"2414",2,0.244,1.04,0.285
"2415",2,0.244,1.05,0.293
"2416",2,0.244,1.06,0.302
"2417",2,0.244,1.07,0.315
"2418",2,0.244,1.08,0.328
"2419",2,0.244,1.09,0.344
"2420",2,0.244,1.1,0.364
"2421",2,0.244,1.12,0.407
"2422",2,0.244,1.14,0.455
"2423",2,0.244,1.16,0.501
"2424",2,0.244,1.18,0.542
"2425",2,0.244,1.2,0.58
"2426",2,0.244,1.3,0.715
"2427",2,0.244,1.4,0.799
"2428",2,0.244,1.5,0.856
"2429",2,0.244,1.6,0.896
"2430",2,0.244,1.7,0.925
"2431",2,0.244,1.8,0.945
"2436",2,0.278,0.8,0.305
"2437",2,0.278,0.9,0.302
"2438",2,0.278,0.92,0.303
"2439",2,0.278,0.94,0.305
"2440",2,0.278,0.96,0.308
"2441",2,0.278,0.98,0.312
"2442",2,0.278,1,0.318
"2443",2,0.278,1.01,0.321
"2444",2,0.278,1.02,0.325
"2445",2,0.278,1.03,0.33
"2446",2,0.278,1.04,0.336
"2447",2,0.278,1.05,0.343
"2448",2,0.278,1.06,0.351
"2449",2,0.278,1.07,0.359
"2450",2,0.278,1.08,0.375
"2451",2,0.278,1.09,0.382
"2452",2,0.278,1.1,0.397
"2453",2,0.278,1.12,0.431
"2454",2,0.278,1.14,0.47
"2455",2,0.278,1.16,0.509
"2456",2,0.278,1.18,0.546
"2457",2,0.278,1.2,0.581
"2458",2,0.278,1.3,0.71
"2459",2,0.278,1.4,0.79
"2460",2,0.278,1.5,0.846
"2476",2,0.316,1.02,0.34
"2477",2,0.316,1.03,0.346
"2478",2,0.316,1.04,0.351
"2479",2,0.316,1.05,0.357
"2480",2,0.316,1.06,0.364
"2481",2,0.316,1.07,0.374
"2482",2,0.316,1.08,0.384
"2483",2,0.316,1.09,0.393
"2484",2,0.316,1.1,0.407
"2485",2,0.316,1.12,0.436
"2486",2,0.316,1.14,0.468
"2487",2,0.316,1.16,0.504
"2488",2,0.316,1.18,0.539
"2489",2,0.316,1.2,0.573
"2490",2,0.316,1.3,0.702
"2491",2,0.316,1.4,0.784
"2492",2,0.316,1.5,0.84
"2493",2,0.316,1.6,0.879
"2494",2,0.316,1.7,0.909
"2495",2,0.316,1.8,0.932
"2496",2,0.316,1.9,0.95
"2497",2.2,0.244,0.5,0.343
"2498",2.2,0.244,0.6,0.304
"2499",2.2,0.244,0.7,0.28
"2500",2.2,0.244,0.8,0.268
"2501",2.2,0.244,0.9,0.267
"2502",2.2,0.244,0.92,0.268
"2503",2.2,0.244,0.94,0.271
"2504",2.2,0.244,0.96,0.274
"2505",2.2,0.244,0.98,0.278
"2506",2.2,0.244,1,0.284
"2507",2.2,0.244,1.01,0.288
"2508",2.2,0.244,1.02,0.292
"2509",2.2,0.244,1.03,0.297
"2510",2.2,0.244,1.04,0.302
"2511",2.2,0.244,1.05,0.309
"2512",2.2,0.244,1.06,0.316
"2513",2.2,0.244,1.07,0.326
"2514",2.2,0.244,1.08,0.335
"2515",2.2,0.244,1.09,0.347
"2516",2.2,0.244,1.1,0.361
"2517",2.2,0.244,1.12,0.394
"2518",2.2,0.244,1.14,0.431
"2519",2.2,0.244,1.16,0.472
"2520",2.2,0.244,1.18,0.512
"2521",2.2,0.244,1.2,0.549
"2522",2.2,0.244,1.3,0.692
"2523",2.2,0.244,1.4,0.782
"2524",2.2,0.244,1.5,0.844
"2525",2.2,0.244,1.6,0.888
"2526",2.2,0.244,1.7,0.919
"2527",2.2,0.244,1.8,0.942
"2532",2.2,0.278,0.8,0.334
"2533",2.2,0.278,0.9,0.329
"2534",2.2,0.278,0.92,0.33
"2535",2.2,0.278,0.94,0.331
"2536",2.2,0.278,0.96,0.334
"2537",2.2,0.278,0.98,0.338
"2538",2.2,0.278,1,0.343
"2539",2.2,0.278,1.01,0.346
"2540",2.2,0.278,1.02,0.35
"2541",2.2,0.278,1.03,0.354
"2542",2.2,0.278,1.04,0.359
"2543",2.2,0.278,1.05,0.365
"2544",2.2,0.278,1.06,0.372
"2545",2.2,0.278,1.07,0.38
"2546",2.2,0.278,1.08,0.393
"2547",2.2,0.278,1.09,0.4
"2548",2.2,0.278,1.1,0.413
"2549",2.2,0.278,1.12,0.442
"2550",2.2,0.278,1.14,0.475
"2551",2.2,0.278,1.16,0.504
"2552",2.2,0.278,1.18,0.542
"2553",2.2,0.278,1.2,0.573
"2554",2.2,0.278,1.3,0.696
"2555",2.2,0.278,1.4,0.779
"2556",2.2,0.278,1.5,0.837
"2572",2.2,0.316,1.02,0.365
"2573",2.2,0.316,1.03,0.37
"2574",2.2,0.316,1.04,0.374
"2575",2.2,0.316,1.05,0.379
"2576",2.2,0.316,1.06,0.384
"2577",2.2,0.316,1.07,0.392
"2578",2.2,0.316,1.08,0.4
"2579",2.2,0.316,1.09,0.407
"2580",2.2,0.316,1.1,0.417
"2581",2.2,0.316,1.12,0.439
"2582",2.2,0.316,1.14,0.463
"2583",2.2,0.316,1.16,0.492
"2584",2.2,0.316,1.18,0.521
"2585",2.2,0.316,1.2,0.552
"2586",2.2,0.316,1.3,0.681
"2587",2.2,0.316,1.4,0.769
"2588",2.2,0.316,1.5,0.829
"2589",2.2,0.316,1.6,0.871
"2590",2.2,0.316,1.7,0.903
"2591",2.2,0.316,1.8,0.928
"2592",2.2,0.316,1.9,0.947
"2593",2.4,0.244,0.5,0.374
"2594",2.4,0.244,0.6,0.331
"2595",2.4,0.244,0.7,0.305
"2596",2.4,0.244,0.8,0.291
"2597",2.4,0.244,0.9,0.289
"2598",2.4,0.244,0.92,0.29
"2599",2.4,0.244,0.94,0.292
"2600",2.4,0.244,0.96,0.295
"2601",2.4,0.244,0.98,0.299
"2602",2.4,0.244,1,0.305
"2603",2.4,0.244,1.01,0.308
"2604",2.4,0.244,1.02,0.312
"2605",2.4,0.244,1.03,0.316
"2606",2.4,0.244,1.04,0.321
"2607",2.4,0.244,1.05,0.326
"2608",2.4,0.244,1.06,0.332
"2609",2.4,0.244,1.07,0.34
"2610",2.4,0.244,1.08,0.348
"2611",2.4,0.244,1.09,0.357
"2612",2.4,0.244,1.1,0.368
"2613",2.4,0.244,1.12,0.393
"2614",2.4,0.244,1.14,0.422
"2615",2.4,0.244,1.16,0.456
"2616",2.4,0.244,1.18,0.492
"2617",2.4,0.244,1.2,0.527
"2618",2.4,0.244,1.3,0.671
"2619",2.4,0.244,1.4,0.767
"2620",2.4,0.244,1.5,0.832
"2621",2.4,0.244,1.6,0.88
"2622",2.4,0.244,1.7,0.913
"2623",2.4,0.244,1.8,0.939
"2628",2.4,0.278,0.8,0.363
"2629",2.4,0.278,0.9,0.356
"2630",2.4,0.278,0.92,0.357
"2631",2.4,0.278,0.94,0.358
"2632",2.4,0.278,0.96,0.36
"2633",2.4,0.278,0.98,0.363
"2634",2.4,0.278,1,0.368
"2635",2.4,0.278,1.01,0.371
"2636",2.4,0.278,1.02,0.374
"2637",2.4,0.278,1.03,0.378
"2638",2.4,0.278,1.04,0.382
"2639",2.4,0.278,1.05,0.387
"2640",2.4,0.278,1.06,0.393
"2641",2.4,0.278,1.07,0.4
"2642",2.4,0.278,1.08,0.411
"2643",2.4,0.278,1.09,0.417
"2644",2.4,0.278,1.1,0.428
"2645",2.4,0.278,1.12,0.452
"2646",2.4,0.278,1.14,0.48
"2647",2.4,0.278,1.16,0.505
"2648",2.4,0.278,1.18,0.538
"2649",2.4,0.278,1.2,0.566
"2650",2.4,0.278,1.3,0.683
"2651",2.4,0.278,1.4,0.768
"2652",2.4,0.278,1.5,0.829
"2668",2.4,0.316,1.02,0.39
"2669",2.4,0.316,1.03,0.394
"2670",2.4,0.316,1.04,0.398
"2671",2.4,0.316,1.05,0.402
"2672",2.4,0.316,1.06,0.406
"2673",2.4,0.316,1.07,0.412
"2674",2.4,0.316,1.08,0.418
"2675",2.4,0.316,1.09,0.424
"2676",2.4,0.316,1.1,0.432
"2677",2.4,0.316,1.12,0.449
"2678",2.4,0.316,1.14,0.469
"2679",2.4,0.316,1.16,0.491
"2680",2.4,0.316,1.18,0.515
"2681",2.4,0.316,1.2,0.541
